BARCLAYS BANK UK PLC|Barclays plc|Public limited company|London Stock Exchange|BARC|Banking||17 November 1690|London|Nigel Higgins|| | £3.065 billion (2020)| £2.461 billion (2020)| £1.349 trillion (2020)| £66.882 billion (2020)|83,500 (2021)|['https://www.barclays.com']
ROYAL MAIL PLC|Royal Mail Group plc|Public limited company|London Stock Exchange|RMG|Postal services||1516|London||Letter post| | £55 million (2020)| £161 million (2020)|||162,263 (2020)|['https://www.royalmail.com/', 'https://www.wikidata.org/wiki/Q638098#P856']
THOMSON REUTERS GROUP LIMITED|Thomson Reuters Corporation|Public|Toronto Stock Exchange|TRI|Mass media|Reuters Group|April 17, 2008|Toronto, Ontario, Canada|David Thomson|| | US$ 1.19 billion (2019)| US$ 1.56 billion (2019)| US$ 17.3 billion (2019)| US$ 9.56 billion (2019)|24,400 (2019)|['http://thomsonreuters.com']
BRITISH AMERICAN TOBACCO P.L.C.|British American Tobacco plc|Public limited company|London Stock Exchange|BATS|Tobacco|Imperial Tobacco|1902|London|Jack Bowles|| | £9.962 billion (2020)| £6.564 billion (2020)|||55,000 (2020)|['http://www.bat.com']
ASDA GROUP LIMITED|Asda Mobile|Subsidiary|||Telecommunication||April 2007|Leeds, West Yorkshire|||||||||['http://mobile.asda.com']
RSA INSURANCE GROUP PLC|RSA Insurance Group Limited|Private limited company|||Insurance||1996|London|"Scott Egan (CEO, RSA UK & International)
Mark Hodges (Chairman)"|| | | |||13,500 (2021)|['https://www.rsagroup.com']
BNP PARIBAS LEASING SOLUTIONS LIMITED|BNP Paribas S.A.|Société Anonyme|Euronext|BNP|Financial services|Banque Nationale de Paris|1848|Boulevard des Italiens|Jean Lemierre|| | €10.057 billion (2019)| €8.17 billion (2019)|€2,040 billion (2018)|€105.7 billion (2018)|202,624 (2018)|['https://group.bnpparibas/en/']
VIRGIN MONEY PLC|Virgin Money UK plc|Public|London Stock Exchange|VMUK|Banking||1 October 2015||James Pettigrew (Chairman) |Retail banking| | | | | |8,256 |['https://virginmoneyukplc.com/']
WORLDPAY (UK) LIMITED|Worldpay|Subsidiary|||Electronic Payment Services||1989 (as Streamline)|London|Sir Michael Rake|Payment Services|£|£|£|||5,000|['https://www.worldpay.com']
TOWERS WATSON SOFTWARE LIMITED|Towers Watson & Co.||||Professional services|Towers Perrin|2010|Arlington, Virginia|John J. Haley|| || |||14,500 (2012)|['http://www.towerswatson.com/']
SMITH & NEPHEW PLC|Smith & Nephew plc|Public limited company|London Stock Exchange|SN.|Medical equipment||1856|Watford|Roberto Quarta|| | | |||17,500 (2021)|['https://www.smith-nephew.com']
UNILEVER UK LIMITED|Unilever plc|Public limited company|London Stock Exchange|ULVR|Consumer goods||2 September 1929|London|Nils Andersen (|| | €8.303 billion (2020)| €6.073 billion (2020)| €67.659 billion (2020)| €17.655 billion (2020)| 155,000 (2021)|['https://www.unilever.com']
MARKS AND SPENCER GROUP P.L.C.|Marks & Spencer Group plc|Public limited company|London Stock Exchange|MKS|Retail||1884|London|Archie Norman||£| | |||78,000 (2021)|['https://www.marksandspencer.com/']
